ShelterPets#0001,None,None,Green,Black and Red,Purple Collar,None,Blue,Pug,None,Purple
ShelterPets#0002,None,Stick,None,Crown Red,None,SuperHero,Green,Shiba,None,Green
ShelterPets#0003,None,Mouse Red,Cyan,None,None,None,Red,Bengal,None,Orange
ShelterPets#0004,None,None,None,None,None,None,Red,Bengal,None,Cyan
ShelterPets#0005,None,None,None,None,None,None,Green,Short Hair,None,Purple
ShelterPets#0006,None,Mouse Red,Yellow,Black and Red,Blue Collar,None,Pink/Blue,Short Hair,None,Red
ShelterPets#0007,None,None,None,None,Blue Collar,None,Green,Pug,None,Blue
ShelterPets#0008,Soccer Red,None,None,None,None,Glasses,Yellow,Shiba,None,Yellow
ShelterPets#0009,None,None,Cyan,Crown Red,Cyan Collar,None,Cyan,Pug,None,Yellow
ShelterPets#0010,None,None,None,Orange,None,None,Yellow,Shiba,None,Cyan
ShelterPets#0011,None,Yarn Purple,None,None,Red Collar,Glasses,Blue,Scotis,None,Cyan
ShelterPets#0012,None,None,None,Crown Red,None,None,Green,Short Hair,None,Orange
ShelterPets#0013,None,Mouse Gray,None,Crown Red - Three Gems,Blue Bow,Glasses,Cyan,Scotis,None,Yellow
ShelterPets#0014,None,Yarn Green,Green,None,Red Collar,None,Green,Short Hair,None,Purple
ShelterPets#0015,Basketball,None,None,Cyan,Cyan Collar,None,Blue,Pug,None,Cyan
ShelterPets#0016,None,None,None,Crown Green,None,None,Cyan,Bengal,None,Green
ShelterPets#0017,None,Bone,None,None,Green Collar,Glasses,Yellow,Shiba,None,Purple
ShelterPets#0018,None,None,Red,Black and Red,None,None,Green,Pug,None,Purple
ShelterPets#0019,Pink Fish,None,Green,None,Red Bow,Black Glasses,Yellow,Orange Tabby,None,Green
ShelterPets#0020,None,None,None,Black and Red,None,None,Blue/Yellow,Bengal,None,Red
ShelterPets#0021,Pink Fish,Yarn Green,Red,None,Red Bow,None,Yellow,Scotis,None,Cyan
ShelterPets#0022,None,Yarn Red,None,Orange,None,None,Purple,Short Hair,None,Orange
ShelterPets#0023,None,None,Yellow,Orange,Green Collar,Glasses,Purple,Doodle,None,Green
ShelterPets#0024,None,None,None,Crown Blue,Green Collar,None,Green,Short Hair,None,Green
ShelterPets#0025,None,None,Green,Black and Red,Blue Collar,Eye Patch,Blue,Retriever,None,Purple
ShelterPets#0026,None,Yarn Yellow,Red,None,None,Eye Patch,Blue,Orange Tabby,None,Green
ShelterPets#0027,None,Yarn Blue,Purple,None,Yellow Collar,None,Cyan,Orange Tabby,None,Pink
ShelterPets#0028,None,None,Purple,Crown Blue,Yellow Collar,None,Blue/Yellow,Short Hair,None,Purple
ShelterPets#0029,None,None,Red,Crown Green,None,None,Green,Pug,None,Blue
ShelterPets#0030,None,None,Cyan,None,None,SuperHero,Yellow,Pug,None,Yellow
ShelterPets#0031,None,Yarn Yellow,Purple,None,Green Bow,None,Green,Scotis,None,Green
ShelterPets#0032,Soccer Red,Stick,Green,Devil Horns,Yellow Bow,Glasses,Red,Pug,None,Green
ShelterPets#0033,None,Yarn Purple,Red,Purple,Yellow Collar,None,Green,Scotis,None,Green
ShelterPets#0034,None,None,Purple,None,Yellow Collar,None,Cyan,Retriever,None,Orange
ShelterPets#0035,None,None,Red,Santa,Blue Collar,Glasses,Pink/Blue,Orange Tabby,None,Purple
ShelterPets#0036,None,None,Cyan,None,Orange Collar,Glasses,Purple,Pug,None,Orange
ShelterPets#0037,None,Yarn Red,Purple,Green,Green Collar,Glasses,Red,Orange Tabby,None,Cyan
ShelterPets#0038,None,None,Yellow,Green,Blue Collar,Glasses,Blue/Yellow,Scotis,None,Pink
ShelterPets#0039,Soccer Red,None,Cyan,Green,Blue Collar,None,Cyan,Retriever,None,Purple
ShelterPets#0040,Basketball,None,Yellow,Santa,None,None,Green,Shiba,None,Purple
ShelterPets#0041,Soccer,Bone,Cyan,Cyan,Yellow Bow,None,Green,Pug,None,Yellow
ShelterPets#0042,Pink Fish,Yarn Blue,Purple,None,None,Glasses,Blue,Orange Tabby,None,Pink
